areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-30,10_14,1395,13044,379.7
E92000001,England,nation,2021-07-30,15_19,3079,22435,720.0
E92000001,England,nation,2021-07-30,20_24,3583,25662,739.0
E92000001,England,nation,2021-07-30,25_29,2644,19368,513.5
E92000001,England,nation,2021-07-30,30_34,2160,16023,418.9
E92000001,England,nation,2021-07-30,35_39,1563,12207,326.5
E92000001,England,nation,2021-07-30,40_44,1351,10247,294.8
E92000001,England,nation,2021-07-30,45_49,1163,8510,233.9
E92000001,England,nation,2021-07-30,50_54,1015,7513,193.9
E92000001,England,nation,2021-07-30,55_59,802,5957,158.4
E92000001,England,nation,2021-07-30,60+,1625,11773,86.2
E92000001,England,nation,2021-07-30,60_64,531,4008,125.4
E92000001,England,nation,2021-07-30,65_69,347,2616,94.0
E92000001,England,nation,2021-07-30,70_74,286,1988,70.6
E92000001,England,nation,2021-07-30,75_79,175,1336,66.5
E92000001,England,nation,2021-07-30,80_84,127,880,60.7
E92000001,England,nation,2021-07-30,85_89,84,564,63.7
E92000001,England,nation,2021-07-30,90+,75,381,73.1
E92000001,England,nation,2021-07-30,unassigned,7,85,
E92000001,England,nation,2021-07-29,00_04,407,3416,105.5
E92000001,England,nation,2021-07-29,00_59,23085,152757,356.2
E92000001,England,nation,2021-07-29,05_09,795,6883,194.5
E92000001,England,nation,2021-07-29,10_14,1529,14068,409.5
E92000001,England,nation,2021-07-29,15_19,3580,22235,713.6
E92000001,England,nation,2021-07-29,20_24,4498,24869,716.2
E92000001,England,nation,2021-07-29,25_29,3302,19264,510.8
E92000001,England,nation,2021-07-29,30_34,2448,16322,426.8
E92000001,England,nation,2021-07-29,35_39,1810,12614,337.4
E92000001,England,nation,2021-07-29,40_44,1545,10500,302.0
E92000001,England,nation,2021-07-29,45_49,1227,8652,237.8
E92000001,England,nation,2021-07-29,50_54,1086,7755,200.1
E92000001,England,nation,2021-07-29,55_59,858,6179,164.3
E92000001,England,nation,2021-07-29,60+,1584,12066,88.3
E92000001,England,nation,2021-07-29,60_64,546,4162,130.2
